Alive precision,AliveDate,Bio Name,BioSource,Biography,BirthDate,BornPrecision,Citation,DeathDate,DeathPrecision,FullTextPageNum,Index Category 1,IndexLifeCode,LifeLength,LifeLength Precision,LineNumber,NameInIndex,NameOnChart,On Chart: Line #,OnChartCategory,Region_final,Section starting Line,Sex or gender V2,UO_ID,VisualCase,WikiLink,aproxBirthDate,aproxDeathDate,case
fl.,-1048.0,Abibalus,Crabb,"The father of Hiram, king of Tyre, and friend of Solomon. He is the oldest Tyrian king of whom mention is made in history; Josephys quotes the Tyrian Annals, Menander, and Dio respecting him and his son.",,,,,,40.0,,fl.,,,134,Abibalus,Abibalus,7.0,Statesmen and Warriors,,127.0,,11.0,A,,-1078.0,-1033.0,case3
,,Abijah,Watkins,"King of Judah, was the son of Rehoboam, and began his reign 958 B. C. In the second year of his reign he defeated Jeroboam, king of Israel.",,,SS.,-955.0,d.,40.0,,d.,,,138,Abijah,Abijah,11.0,Statesmen and Warriors,Turky in Asia,127.0,male,12.0,D,https://en.wikipedia.org/wiki/Abibaal,-1000.0,-955.0,case2
,,Abrabanel (Isaac),Watkins,"A learned rabbi, was born at Lisbon in 1437. He was a member of the council of Alphonsus, king of Portugal; but fell into disgrace on the death of that monarch, and fled to Castile, where he was protected by Ferdinand and Isabella. In 1492, he was obliged to quit Spain in consequence of an edict against the Jews, on which he retired to Naples, where he recommended himself to the favour of king Ferdinand, and his successor Alphonso. When the latter was driven from Naples by Charles VIII. king of France, Abrabanel accompanied him to Sicily, and at his death retired to the island of Corfu; but in 1496 he returned to Italy, and was employed at Venice to settle a dispute between the Portuguese and Venetians, respecting trade. Here he finished his commentaries on the scriptures, and died in 1508.",,,Bayle,1508.0,d.,40.0,J,d. (LL),70.0,,103,Abrabinel,Abrabinel,4.0,Divines and Metaphysicians &cc,Portugal,99.0,male,13.0,C,https://en.wikipedia.org/wiki/Isaac_Abarbanel,1438.0,1508.0,case1
,,Abubekr,Watkins,"The successor of Mohammed, and the first who assumed the title of caliph. He acquired a great extent of territory, by conquering the Persians, Syrians, and Greeks. He died in 632, and was interred by the side of Mohammed, his son-in-law.",,,D'Herbelot,634.0,d.,40.0,,d. (LL),63.0,,132,Abu Bekr,Abubekr,5.0,Statesmen and Warriors,Arabia,127.0,male,14.0,C,https://en.wikipedia.org/wiki/Abu_Bakr,571.0,634.0,case1
,,Abuteman,Watkins,"Surnamed Altayi, reckoned the prince of Arabian poets, was born in 842, or 846, at Yasem, near Damascus.",,,D'Herbelot,843.0,d.,41.0,P,d. (LL),41.0,,48,Abu Temam,Abu Temam,5.0,Artists Poets,Turky in Asia,43.0,male,15.0,C,https://en.wikipedia.org/wiki/Abu_Tammam,802.0,843.0,case1
fl.,770.0,Abucaras (Theodore),Watkins,"Bishop of Caria in the 8th century, was a partizan of Photius but recanted at the council of Constantinople and was re-admitted to his seat. He wrote several controversial treatises, which were published at Ingoldstadt, in 4to, 1606. There was also published at Paris, in 1685, a work entitled ""De Unione et Incarnatione,"" by this writer, from a MS. found in the Bodleian library.",,,,,,40.0,D,fl.,,,114,Abucaras,Abucaras,15.0,Divines and Metaphysicians &cc,Turky in Asia,99.0,male,16.0,A,https://en.wikipedia.org/wiki/Theodore_Abu_Qurrah,740.0,785.0,case3
l. af.,1285.0,Abolfaragius (Gregory),Watkins,"An Armenian, physician, bishop, and historian, was born in 1226, at Malatia. near the source of the Euphrates. He wrote an universal history in Arabic, which Dr. Pococke published in 1068, with a Latin translation, and a supplement. He died in 1286.",1226.0,b.,,,,41.0,H,b. liv. af.,,,10,Abul Pharai,Abulpharai,10.0,Historians and Antiquaries Lawyers,Turky in Asia,0.0,male,17.0,M,https://en.wikipedia.org/wiki/Bar_Hebraeus,1226.0,1285.0,case14
,,Abulgasi-Bayatur,Watkins,"Khan of the Tartars, was born at Urgens, the capital of Kharasm, in 1605. After a reign of twenty years he resigned the crown to his son, and led a retired life, during which he wrote the history of the Tartars, which valuable work, having been brought into Europe, has been published in German and French. He died in 1663.",,,Moreri,1663.0,d.,41.0,H,d. (LL),59.0,,7,Abulghazi,Abulghazi,7.0,Historians and Antiquaries Lawyers,Western Tartary,0.0,male,18.0,C,https://en.wikipedia.org/wiki/Abu_al-Ghazi_Bahadur,1604.0,1663.0,case1
,,Abulseda (Ismael),Watkins,"Prince of Hamah, in Syria, who wrote a valuable piece, entitled ""A Description of Chorasmia and Mawaralnahre, or the Regions bevond the River Oxus, from the Tables of Abulseda Ismael, prince of Hamah."" This book was edited by John Greaves, who added to the original, which is in Arabic, a Latin translation. A new edition was published at Oxford, in 1712, by Hudson. Abulseda also wrote the lives of Mohammed and Saladin. He died about the year 1332",,,"Bayle, Moreri",1345.0,d.,40.0,Geo,d. (LL),72.0,,9,Abulseda,Abulseda,9.0,Historians and Antiquaries Lawyers,Turky in Asia,0.0,male,19.0,C,https://en.wikipedia.org/wiki/Abu%27l-Fida,1273.0,1345.0,case1
,,Abusaid Khan,Watkins,"The last sultan of the race of Zingis Khan, ascended the throne in 1317, and died in 1336.",,,D'Herbelot,1335.0,d.,41.0,,d. (LL),32.0,,131,Abusaid,Abusaid,4.0,Statesmen and Warriors,Turky in Asia,127.0,male,20.0,C,https://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan,1303.0,1335.0,case1
fl. ab.,-300.0,Abydenus,Watkins,"Surnamed Monophthalmus, from having lost an eye, was the disciple and successor of Eusebius, bishop of Caesarea. He was deposed by the council of Sardica for heresy; on which he, and some Others, assembled at Philippolis, and anathematized Athanasius and the rest of their adversaries! Acacius was concerned in banishing pope Tiberius, and settling Felix in the see-vrf Rome. He was the founder of a sect called Acaciani, and died about the year 365. He wrote the Life of Eusebius, and other works.",,,,,,41.0,H,fl. ab.,,,20,Abydenus,Abydenus,20.0,Historians and Antiquaries Lawyers,,0.0,male,21.0,B,https://en.wikipedia.org/wiki/Abydenus,-330.0,-285.0,case13
,,Acca,Watkins,"Bishop of Hexham in Northumberland, in the eighth century. He ornamented his cathedral, improved church music, and encouraged learning. He was banished for some time from his see, for what cause is unknown, but he was afterwards restored, and died at Hexham in 740. He wrote a treatise on the sufferings of the saints, epistles, and other works..",,,,740.0,d.,41.0,D,d.,,,120,Acca,Acca,21.0,Divines and Metaphysicians &cc,Great Britain,99.0,male,22.0,D,https://en.wikipedia.org/wiki/Acca_of_Hexham,695.0,740.0,case2
,,Accius (Lucius),Watkins,"A Latin tragic poet, flourished about 170 years B. C. He wrote several tragedies on subjects taken from the Grecian history, and one, entitled Brutus, from the Roman. Two comedies, one named the Wedding, and the other the Merchant, are also ascribed to him. His style has been accounted harsh, but he is generally allowed to have been a great poet : none of his works are extant.",-171.0,b.,,,,41.0,P,b. (LL) ab.,65.0,ab.,55,Accius,Accius,12.0,Artists Poets,Italy,43.0,male,23.0,G,https://en.wikipedia.org/wiki/Lucius_Accius,-171.0,-106.0,case11
,,Accorso (Francis),Watkins,"Professor of law at Bologna, was born at Florence in 1182. He reduced the code, digests, and institutes, into one system, printed at Lyons, in 6 vols. folio, 1627. He died in 1260, and was succeeded by his son Francis.",,,Bayle,1229.0,d.,41.0,L,d. (LL),77.0,,1,Accursius,Accursius,1.0,Historians and Antiquaries Lawyers,Italy,0.0,male,24.0,C,https://en.wikipedia.org/wiki/Accursius,1152.0,1229.0,case1
fl. ab.,800.0,Tatius (Achilles),Watkins,"A native of Alexandria, who embraced the christian religion, and wrote a Commentary on the Phaenomena of Aratus, which is extant; also a Greek romance, called the Amours of Leucippus and Clitophon, printed in 1510, 12mo.",,,,,,41.0,HP,fl. ab.,,,125,Achilles Tatius,Ach: Tatius,26.0,Divines and Metaphysicians &cc,Africa,99.0,male,25.0,B,https://en.wikipedia.org/wiki/Achilles_Tatius,770.0,815.0,case13
,,Achillini (Alexander),Watkins,"An eminent philosopher and physician of Bologna, where he died in 1512, aged 40. He is said to have discovered the hammer and anvil, two small bones in the organ of hearing. His works were published in folio at Venice, in 1568.",,,,1512.0,d.,41.0,M,d. (LL),47.0,,89,Achillini,Achillini,20.0,Mathematicians &cc Physicians,Italy,69.0,male,26.0,C,https://en.wikipedia.org/wiki/Alessandro_Achillini,1465.0,1512.0,case1
fl.,350.0,Achmet,Watkins,"An Arabian author, who wrote a book on the interpretation of dreams, which was published at Paris, in 1603. He lived about the fourth century.",,,Bayle,,,41.0,Cr,fl.,,,0,Achmet,,,,,,male,27.0,A,https://en.wikipedia.org/wiki/Achmet_(oneiromancer),320.0,365.0,case3
fl.,-1030.0,Acrisius,Crabb,"A king of Argos, and father of Danae, the mother of Perseus by Jupiter, was slain by his grandson according to the oracle.",,,,,,40.0,,fl.,,,151,Acrisius,Acrisius,24.0,Statesmen and Warriors,,127.0,male,28.0,A,https://en.wikipedia.org/wiki/Acrisius,,0.0,none
fl.,-439.0,Acron,Watkins,"A Sicilian physician, flourished 439 B.C. He expelled the plague from Athens by burning perfumes.",,,Moreri,,,41.0,Ph,fl.,,,75,Acron,Acron,6.0,Mathematicians &cc Physicians,Sicily,69.0,male,29.0,A,https://en.wikipedia.org/wiki/Acron,-469.0,-424.0,case3
,,Acropolita (George),Watkins,"Son of the above, was called the younger Metaphrastes, and was great chancellor of the empire. He flourished about 1270.",,,,1282.0,d.,41.0,H,d. (LL),62.0,,14,Acropolita G.,G. Acropolita,14.0,Historians and Antiquaries Lawyers,,0.0,male,30.0,C,https://en.wikipedia.org/wiki/George_Akropolites,1220.0,1282.0,case1
fl.,-550.0,Acusilaus,Crabb,"A Greek historian, the son of Cabas, who lived, according to Josephus, before the expedition of Darius against Greece. He wrote 'Περί τών γενεαλογιών', i.e. concerning the genealogies of the principal families, of which only fragments are preserved, that have been published with those of Pherecydes, by M. Sturz, 8vo. Gera, 1798.",,,,,,41.0,H,fl.,,,20,Acusilaus,Acusilaus,20.0,Historians and Antiquaries Lawyers,Turky in Europe,0.0,male,31.0,A,https://en.wikipedia.org/wiki/Acusilaus,-580.0,-535.0,case3
,,Adado'ddawla,Crabb,"Son of Rucni'ddawla, succeeded his uncle Amado'ddawla on the Persian throne, in the year of the Hegira 338, A.D. 948, and died after a reign of 34 years.",,,,982.0,d.,41.0,,d. (LL) ab.,47.0,ab.,133,Adado'dawla,Adado'dawla,6.0,Statesmen and Warriors,Persia,127.0,male,32.0,H,https://en.wikipedia.org/wiki/%27Adud_al-Dawla,935.0,982.0,case4
fl.,298.0,,,,,,,,,32.0,M,fl.,,,93,"Adda, R.",R. Adda,24.0,Mathematicians &cc Physicians,,69.0,male,33.0,A,https://en.wikipedia.org/wiki/Adda_bar_Ahavah,268.0,313.0,case3
,,Addison (Joseph),Watkins,"Son of the above, was born at Milston, in Wilts, May 1, 1675. After recieving the rudiments of education, he was sent to the Charter-house, where he contracted an intimacy with sir Richard Steele. In 1687, lie was admitted of Queen's college, Oxford, but afterwards was elected demy at Magdalen. In 1693, he took his degree of M. A. and became eminent for his Latin poetry. At the age of 22, he addressed some verses to Dryden in English, and not long after published a translation of part of Virgil's fourth Georgic. About this time he wrote the arguments prefixed to the several books of Dryden's Virgil, and composed the essay on the Georgies. In 1695, he addressed a poem to king William which recommended him to lord Somers. In 1699, he obtained a pension of 300/. a year, to enable him to travel. He went through France and Italy, improving his mind to the best advantage, as appears from his ""Letter to Lord Halifax,"" reckoned the most elegant of his poetical works, and his ""Travels in Italy,"" which he dedicated at his return to lord Somers. He returned home in 1702, and found his old friends out of place. In 1704, he was introduced by lord Halifax to lord Godolphin as a fit person to celebrate the victory of Blenheim; on which occasion he produced the Campaign, for which he was rewarded with the place of commissioner of appeals. Next year he went to Hanover with lord Halifax, and soon after was appointed under-secretary of state. The rage for Italian operas which then prevailed, induced him to write his ""Rosamond,"" which did not succeed, probably because it was English. When the marquis of Wharton went to Ireland as lord lieutenant, Addison accompanied him as secretarv, and was made keeper of the records there, with a salary of 300/. a year. While he was in Ireland, Steele commenced the Tatler, to which Addison liberally contributed. This was followed by the Spectator, which was enriched by the contributions of Addison, whose papers are distinguished by one of the letters of tire word CLIO. In 1713, his tragedy of Cato was brought upon the stage, amidst the plaudits of both whigs and tories. Cato was praised by most of the contemporary poets, criticised by Dennis, attacked as a party play at Oxford, and vindicated by Dr. Sewel. It was translated into Italian, and performed at Florence, and into Latin at the college of St. Omers. At this time the Guardian appeared, to which Addison contributed, and his papers are marked by a hand. But the violence of politics soon put a stop to this paper, and Addison engaged in the party warfare, but his political pieces sunk into neglect. An attempt was made to revive the Spectator, but after the publication of eighty numbers, which compose the eighth volume, the work was relinquished. Addison's quota amounts to about a fourth part. In 1715, he began the Freeholder, and continued it till the middle of the next year, in defence of the government. In 1716, he married the countess dowager of Warwick, after a long courtship. He had been tutor to her son, but the marriage did not prove happy. In 1717, he became secretary of state, which place he soon resigned, on a pension of 1500/. a year. In his retirement he planned a tragedy on the death of Socrates, which he abandoned for a work of a more exalted kind, ""A Defence of the Christian Religion,"" part of which appeared after his death, and makes us regret that he did not live to perfect it. He also laid the plan of an English dictionary in the manner since so happily executed by Dr. Johnson. In 1719, he engaged in a political dispute with Steele, on the peerage-bill, then brought in to restrain the king from creating any new peers except in case of the extinction of an old family. Steele's pamphlet was entitled ""The Plebeian,"" and was calculated to alarm the people on the occasion; and Addison replied to it in another called ""The Old Whig,"" in which he contemptuously styled his opponent ""little Dicky."" That year terminated his life, and he ended it in a manner suitable to his character. He sent for lord Warwick, and affectionately pressing his hand, softly said, ""See in what peace a Christian can die!"" After giving directions to Mr. Tickel respecting the publication of his works, which he himself dedicated on his death-bed to Mr. Craggs, he breathed his last, June 17, 1719, at Holland-house, leaving only one daughter, -who died unmarried, in 1797. Dr. Johnson, after drawing his character in a forcible and elegant manner, says, ""whoever wishes to attain an English style, familiar but not coarse, and elegant but not ostentatious, must give his days and nights to the volumes of Addison.""",,,,1719.0,d.,41.0,P,d. (LL),54.0,,49,Addison,Addison,6.0,Artists Poets,Great Britain,43.0,male,34.0,C,https://en.wikipedia.org/wiki/Joseph_Addison,1665.0,1719.0,case1
fl.,709.0,,,,,,,,,32.0,M,fl.,,,87,"Adelmus, Du",Adelmus D.,18.0,Mathematicians &cc Physicians,,69.0,,35.0,A,,679.0,724.0,case3
,,Ado,Watkins,"Archbishop of Vienne, in Dauphiny, died in 875, aged seventy-five. He wrote, 1. An universal Chronicle, printed at Paris, 1522, folio, and at Rome in 1745, folio. 2. A Martyrclogy, published in 1613.",,,Dupin,874.0,d.,41.0,H,d.,,,14,Ado,Ado,14.0,Historians and Antiquaries Lawyers,Germany,0.0,male,36.0,D,https://en.wikipedia.org/wiki/Ado_of_Vienne,829.0,874.0,case2
,,Adrian (Publius Aelius),Watkins,"Emperor of Rome, was born there A. D. 76. He entered early into the army, and became tribune of a legion. He married Sabina, the heiress of Trajan, whom he accompanied in his expeditions, and became successively praetor, governor of Pannonia, and consul. On the death of Trajan, in 117, he assumed the government, made peace with the Persians, and remitted the debts of the Roman people. No monarch travelled more than Adrian. In 120, he visited Gaul, from whence he went to Britain, where he built a wall, from the mouth of the Tyne to Sol-way-frith, eighty miles in length, to secure the Roman province from the incursions of the Caledonians. On leaving Britain, he went into Africa and Asia, and was initiated, into the Eleusinian mysteries at Athens, in 125. In his reign the Christians suffered a dreadful persecution. He built a temple to Jupiter on mount Calvary, and placed a statue of Adonis in the manger of Bethlem; he also had the images of swine engraved on the gates of Jerusalem. He died at Baiae in the 63d year of his age, having reigned twenty-one years. On his death-bed he composed, some Latin verses, addressed to his soul which betray his uncertainty with regard to a future state. He had great virtues, which were, however, blended with as, great vices. He adopted Titus Antoninus, on condition that he should adopt Marcus Annius Verus, and the son of Lucius Verus.",,,,138.0,d.,41.0,,d. (LL),72.0,,141,Adrian,Adrian,14.0,Statesmen and Warriors,Spain,127.0,male,37.0,C,https://en.wikipedia.org/wiki/Hadrian,66.0,138.0,case1
,,Adrian IV. (pope),Watkins,"And the only Englishman who ever had that dignity, was born at Langley, near St. Albans. His name was Nicholas Brekespere; and he was some time in the monastery of St. Albans in a low condition. Being refused the habit in that house, he went to France, and became a clerk in the monastery of St. Rufus, in Provence, of which he was afterward chosen abbot. Eugenius III. made him a cardinal in 1146, and in 1148 sent him legate to Denmark and Norway, which nations he converted to the Christian faith. In 1151, he was chosen pope, on which, Henry II. king of England, sent the abbot of St. Albans, with three bishops, to congratulate him. The pope, disregarding the slight formerly put upon him, granted considerable privileges to the monastery of St. Albans, and a bull to Henry for the conquest of Ireland. In 1155, he excommunicated the king of Sicily; and about the same time, the emperor Frederic, meeting the pope near Sutinam, held his stirrup while he mounted on horseback; after which his holiness conducted him to Rome, and consecrated him king of the Romans in St. Peter's church. The next year, the king of Sicily submitted and was absolved. Adrian, by his active conduct, left the papal territory in a better state than he found it in; and died, not without suspicion of poison, in 1159. There are some letters and homilies of his extant.",,,,1159.0,d.,41.0,Po,d.,,,123,Adrian 4th,Adrian 4th,24.0,Divines and Metaphysicians &cc,Great Britain,99.0,male,38.0,D,https://en.wikipedia.org/wiki/Pope_Adrian_IV,1114.0,1159.0,case2
,-980.0,,,,,,,,,-99.0,,liv.,,,149,Aeacus,Aeacus,22.0,Statesmen and Warriors,Turky in Europe,127.0,male,39.0,A,https://en.wikipedia.org/wiki/Aeacus,,0.0,none
fl.,-1080.0,Aegialeus,Crabb,"The son of Adrastus and Demoanassa, was killed at the first Theban war of the epigoni. His six brothers returned victorious.",,,,,,41.0,,fl.,,,151,Aegialeus,Aegialeus,24.0,Statesmen and Warriors,,127.0,,40.0,A,,-1110.0,-1065.0,case3
fl.,1150.0,Giles of Viterbo,Watkins,"An Italian cardinal of the 16th century, who was a great favourite with the popes Julius II. and Leo X. the latter of whom sent him legate to Germany, on which occasion he was made a cardinal. He died in 1532. He wrote Remarks on the Three first Chapters of Genesis; Commentaries on the Psalms; Dialogues; Letters and Poems.",,,Moreri,,,41.0,P,fl.,,,55,Aegidius,Aegidius,12.0,Artists Poets,Turky in Europe,43.0,male,41.0,A,https://en.wikipedia.org/wiki/Giles_of_Viterbo,1120.0,1165.0,case3
,,Aelian (Claudius),Watkins,"A historian and rhetorician, was born in Italy about the year 80 of the Christian era. Though he never left his native country, he became so perfect a master of the Greek language, as to write it with the greatest purity. He taught rhetoric at Rome, under the emperor Antoninus. His Various History is a curious collection of anecdotes, the best editions of which are, those of Perizonius, in 1701, and Gronovius, 1731. His History of Animals is also valuable. His works were collected and published by Gesner at Zurich, in 1556.",,,,140.0,d. ab.,41.0,H,d. ab. (LL),60.0,,13,Aelian,Aelian,13.0,Historians and Antiquaries Lawyers,,0.0,male,42.0,G,https://en.wikipedia.org/wiki/Aelianus_Tacticus,80.0,140.0,case6
,,Aemilianus (C. Julius),Watkins,"a Moor, who rose from the lowest station to the imperial dignity. He prevailed on the army to elect him emperor, and marched against Gallus, who was slain by his own soldiers, and thus Aemilianus easily obtained the throne; but he did not long enjoy that dignity, being killed by some of his own troops, who gave the crown to Valerian. This happened four months after his accession, in the 46th year of his age.",,,,254.0,d.,41.0,,d. (LL),46.0,,145,Aemilian,Aemilian,18.0,Statesmen and Warriors,,127.0,male,43.0,C,https://en.wikipedia.org/wiki/Aemilianus,208.0,254.0,case1
fl.,-883.0,Macer (Aemilius),Watkins,"An ancient latin poet, was born at Verona, and flourished under Augustus. He wrote a poem on birds, serpents and herbs, and another on the ruin of Troy, which are lost. One which passes under his name, on the quality of herbs, is spurious.",,,,,,41.0,,fl.,,,0,Aemilius,,,,Italy,,male,44.0,A,https://en.wikipedia.org/wiki/Aemilius_Macer,-913.0,-868.0,case3
,,Aemilius (Paulus),Watkins,"A Roman general. He was born of a noble family about 228 B.C. Having passed through several civil offices with reputation, he obtained a military command, in which he acquired great glory. At the age of 46, he served the office of consul; and when he was 60 he accepted the command of the armies against Perses, king of Macedon, whom he made prisoner, leading him in triumph through Italy, with the king of Illyria his ally. On his arrival at Rome, he obtained a magnificent
triumph, in which Perses and his family led the way. He afterwards served the office of censor, and died universally lamented, in the 64th year of his age.",,,,-160.0,d.,41.0,,d.,,,0,"Aemilius, P.",,,,Italy,,male,45.0,D,https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_Macedonicus,-205.0,-160.0,case2
fl.,-883.0,,,,,,,,,41.0,,fl.,,,148,Aeneas,Aeneas,21.0,Statesmen and Warriors,,127.0,male,46.0,A,https://en.wikipedia.org/wiki/Aeneas,-913.0,-868.0,case3
