ALTERNATE_ID,ALTERNATE_NAME,BIO,Biography source,SOURCE,PDF_page_#
26,"Tromp, Cornelius van","Son of the preceding, maintained the honour of his family by an equal display of gallantry, in the battles fought with the English in 1673 and subsequently, and died in 1691, at the age of 62, after having succeeded De Ruyter as admiral of the fleet. ",Crabb,Vide Plate XV,"630, Vol 2"
27,Abas,"Son of Lynceus, or, according to some, of Belus, reigned 23 years over Argos, A.M. 2573, A.C. 1384. His descendants Proteus, Acrisius, &c. were called Abantiades.",Crabb,"Hist. Appolod. l.2, c.2; Hygin. Fab. 170, &c. Paus. l.2, c.16, &c.; Euseb. in Chron. lib. post.""","11, Vol 1"
28,"Angriani, Michael","Aygnani, or Aignan, commonly called Michael of Bologna, a Carmelite of the 14th century, died in 1416. He wrote Commentaries on the Psalms and other parts of the Bible.",Crabb,Biog.,"169, Vol 1"
29,Anianus,"A Latin author of the fifth century, who was one of the defenders of Pelagius against S. Augustin and others.",Crabb,"S. August. Contra Jul. c.8; Hieron.; Du Pin, Bibl. des Aut.","169, Vol 1"
30,Anniceris,"A disciple of Hegeisas, and a founder of a sect of philosophers called after himself, liberated Plato from captivity. He was also distinguished as a skilful charioteer.",Crabb,"Cic. de Offic. l.3, c.33; Lucian. in Demosth. Encom.; Diogen. Laert. in Aristip. et in Plat.","173, Vol 1"
31,Antinous,"A youth of Bithynia, of whom the emperor Adrian was enamoured. He deified him after his death, and gave it out that he was placed among the constellations.",Crabb,Hist.,"179, Vol 1"
32,"Caesalpinus, Andrew","A botanist and physician of Arezzo, was born in 1519, and died in 1603. He published 'Libri XVI de Plantis X', 4to Florent. 1583, to which was published an Appendix, 4to Rom. 1603; besides some medical works, which were esteemed in his day.",Crabb,Biog.,"394, Vol 1"
33,"Campano, Novarese","an early and eminent Italian geometrician and astronomer, flourished in the time of Urban IV. who was elected pope in 1261. He was chaplain to the pope, and had a canonry of Paris. He wrote commentaries on Euclid, which have been, printed ; and he is commonly said to have been author of a translation of Euclid into Latin from the Arabic version, but Tiraboschi attributes this rather to Adelard, an English monk. Campano also wrote a treatise on the quadrature of the circle, printed in the appendix to the Margarita Filisofica. He likewise composed several works on astronomy, which are preserved in MS. in various libraries. They treat on the motions of divers planets, on the instruments necessary for observing them, on the ecclesiastical computation, and on the theory of the planets in general. A letter of his to Fra Rainero da Todi, a contemporary astronomer, on the motion of the eighth sphere, is extant in St. Mark's library at Florence. From all these writings, Campano appears to have possessed more scientific knowledge of this kind than perhaps any one of his age.",Aikin,Tirabcschi. A.,1039
34,"Michael, Cerularius","patriarch of Constantinople in the eleventh century, was raised to that dignity in the year 1043. ^e was a person of a restless and ambitious spirit; a determined enemy to the church of Rome and the papal claims ; and in the year 1053, the reviver of the famous contest between the Greek and Latin churches, which had been suspended for a considerable time. The pretexts which were employed to justify this new rupture, were zeal for the truth, and an anxious concern about the interests of religion ; but its true causes were the arrogance and ambition of the Grecian patriarch and the Roman pontiff. The latter was constantly forming the most artful stratagems to reduce the former under his yoke ; and, on the other hand, the Grecian pontiff was not only determined to refuse obstinately the least mark of submission to his haughty rival, but was also laying schemes for extending his own dominion, and for reducing all the Oriental patriarchs under his supreme jurisdiction. Among the measures to which they mutually had recoi>>e, in order to sap the foundations of each other's authority and influence with the people, were accusations of holding corrupt doctrines, or heresies, of the most dangerous nature. On the present occasion Cerularius struck the first blow, by a letter written in his own name, and in the name of Leo, bishop of Acrida, in which he publicly accused the Latins of various errors of consequence. Of such a description, among others which are enumerated by ecclesiastical historians, were their fasting on the sabbath, or seventh day of the week ; their permitting the use of milk and cheese in the first week of Lent ; their using unleavened bread in the celebration of the Lord's supper ; their allowing their priests to be beardless , their confining themselves to one single immersion in the rite of baptism, &c. Such trifling objects as thesej in those dark times, were considered to be so serious and import.int, as to excite a fatal schism, and kindle a furious war between the Greeks and Latins, who carried their animo-: ities to the greatest lengths,and loaded each other with reciprocal invectives and imprecations. To the letter of Cerularius pope Leo IX. wrote a most imperious reply; and at the same time assembled a council at Rome, in which the Greek churches were solemnly excommunicated. In our life of that pontiff"", we have mentioned the unsuccessful issue of the effort made by the emperor Constantine Monomachus to stifle this controversy in its birth ; and also the insolent and imprudent proceeding of the papal legates at Constantinople, in publicly excommunicating the patriarch, and all who should continue in his communion. Out of resentment, the patriarch excommunicated these legates with all their adherents -and followers, in a public council, and procured ark order from the emperor for burning the sentence pronounced against the Greeks. These violent measures were followed, on both sides, with a number of controversial writings, which were filled with the most bitter and irritating invectives, that contributed to widen the breach between the Greek and Latin churches^ till it became irreparable. In the year 1057, when the struggle took place between the emperor Stratioticus and Isaac Comnenus for the imperial crown, our patriarch embraced the interests of the latter, and was one of the principal instruments of raising him to that dignity. Owing either to the persuasion or menaces of Cerularius, Stratioticus divested himself of the purple, and retired into a monastery ; after which Comnenus advanced to Constantinople,, where the influence of the patriarch had prepared the way for his being received without opposition, and he was crowned by that prelate on the day after his arrival. In the following year, the emperor being compelled by the exhausted state of the public treasury to lay heavy taxes upon the people, thought it reasonable to draw from the monasteries also part of the immense wealth with which tiny* had been enriched by his predecessors. This, proceeding was highly resented by the patriarch, who arrogantly threatened to pull him down from the throne 10 which he had raised him, unless he restored what he had taken from the religious houses. Exasperated at this insolent menace, the emperor caused Cerularius to be arrested, deposed, and sent into exile, where he died soon afterwards. Two of this patriarch's "" Letters,"" in Greek and Latin,,  may be seen in the second volume of "" Cotelerii Eccl. Grasc. Vjonum.;"" and two of his "" Synodical ] diets,"" together with fragments of others, in Greek and Latin, are preserved in "" Jur. Grsec."" Lib. II!. and IV. and in Leo Allatius "" De Lib. Eccles. Gruec.""",Aikin,"Cave's Hist. Lit. -vol. II. sub 5C. Hild. Dupin. Moreri. Jtlosh. Hist. Eccl. sac. xi, par. it. cap. 3. sect. i::.*xii. Anc. Un. Hist. -vol. XVII. b. iv. ch. I I. M.",
35,Cheops or Cheospes and Cheohren,Two kings of Egypt who built pyramids.,Crabb,Hist. Herod. 1. 2.,"439, Vol 1"
36,"Caelius Aurelianus, or Arianus","an ancient physician of the methodical sect, was a native of Sicca Veneria in Africa. Of his history we have no accounts, nor is it certainly known when he flourished, though it was probably before the time of Galen, since, nmong all the eminent physicians whom he cites, he never mentions him. He wrote in a very harsh, impure Latin style ; and a great part of his works consists in a version of Soranus, though he occasionally interposes his own opinion, and gives some observations from his own practice. His knowledge of Greek was by no means accurate, as appears from his etymological mistakes. No ancient writer on physic is so copious in practical matter ; and, amid the wreck of old authors, he has acquired much incidental value by the numerous passages from them which are preserved in his works. He treats of a greater number of diseases than any other ancient writer extant ; and in citing authorities he does not hesitate freely to expose what appeared to him to be errors. The pieces of his which remain are : "" Celerum vel Acutarum Passionum, lib. III. ;"" and "" Chronicon, sive Tardarum Passionum, lib. V."" These have been published both separately and conjointly. The latest editions of the whole are Amman's, with Almeloveen's notes, Amst. 1709, 1722, 1755 ; and Haller's, with Reinesius's notes, among the Artis Medical Principes, Lattsan. 1744.",Aikin,"Vander Linden. Haller B,bl. Med. Pract.h..",996
37,"Peter, surnamed Comestor, or the Eater","another eminent French ecclesiastic in die I2th century, was a native of Troyes in Champagne. Having embraced the clerical profession, he became canon, and afterwards dean, of the cathedral in that city. In this situation he acquired such celebrity, that he was invited to Paris, where he was appointed dean of the metropolitan church. Some time after this he resigned his benefices, renounced the world, nnd entered among the canonsregular of St. Victor at Paris, where he gave himself up wholly to study and exercises of devotion. He died in the year i 198. He was a man of learning for the age in which he lived, and, what reflects credit on his memory, had the hardihood publicly to condemn some of the abuses and corruptions of the Romish church. This we learn from the testimony of Girald Larry, more generally known by the name of Giraldus Cambrensis, who was his disciple, and most probably imbibed from him the enmity which on all occasions he discovered against the monks. In a manuscript of that author preserved in the archiepiscopal library at Lambeth, he tells us that he heard Peter declare before his whole school, in which many persons of distinguished literature were present, that the old enemy, meaning the devil, never insidiously devised a more injurious measure against the church of God, than the law which enjoined a vow of celibacy on the clergy. The following epitaph upon his tomb has been thought not unworthy of preservation, by different authors who have communicated notices of him to the public : Petrus eram, quern Petra tegit, dictusque Coincstor. Nunc comedor. Vivus docui, nee cesso docere Mortuus ; ut dicant, qui me vident incineratum, "" Quod sumus, iste fuit, erimus quandoque quod hie est."" lie was the author of "" Historic Ecclesiastics, Lib. xvi.,"" containing a summary of sacred history, from the beginning of Genesis to the end of the Acts of the Apostles, intermixed with numerous passages from profane history, and some fabulous narrations. It was first published at Reutlingen, in 1473, an ^ afterwards underwent repeated impressions at Strasburg, Basil, Lyons, and other places. Our author also wrote the "" Sermons"" which, as we have already seen, made their first public appearance among the works of Peter of Blois ; and manuscripts of several others still remain in the libraries at Lambeth and Pembroke- Hall, Cambridge. To his pen, likewise, has been attributed a work, entitled, "" Catena Temporum,"" &c. consisting of an indigested compilation of universal history, published at Lubeck in 1475, in 2 vols. folio; of which a French translation was printed at Paris, in 1488, in 2 vols. folio, under the title of, "" Mer des Histoires,"" &c.",Aikin,Cave's Hist. Lit. Vol. II. sub sac. Wald. Dupin. Mereri. Nouv. Diet. Hist. - M.,4804-4805
38,"Julia, Mamoea","Sister of the preceding (Julia, Soemia in Crabb), and mother of Alexander Severus, a woman of great virtue and wisdom, had so much the confidence of her son, that he did nothing without her counsel. She was killed with him at Mentz by the soldiers, who revolted at the instigation of Maximinus. It is asserted by many authors that she was a Christian.",Crabb,Dio. 1. 78; Lamprid. in Vit. Alex.; Herod. 1. 5; Cedren. in Compend. Hist.,"205, Vol 2"
39,Critolaus,"A periphatic philosopher, was a native of Phaselis, a sea-port town of Lycia. Arriving in Athens, he became the successor of Aristo, and, excepting Diodorus who was his disciple, the last who filled the chair of the periphatic school in uninterrupted succession. Of the high estimation in which his talents were held we may form an idea from the circumstance that he was fixed upon by the people of Athens, jointly with Carneades the academic, and Diogenes the stoic, to undertake an embassy to the Roman senate, to obtain the mitigation of a fine laid on the inhabitants of that city, without their having been heard in their own defence, and to impress the Romans with favourable sentiments of the literature and eloquence of Greece. We have already noticed the effects produced by their embassy under the article Carneades. Critolaus was said to have held the doctrine of the eternity of the world.",Aikin,Stanley's Hist. Phil. Enfield's Hist. Phil. vol. 1. - M,1554
40,"Curio, C. Scribonius","A tribune, son of the preceeding, and the correspondent of Cicero, was remarkable for his audacity of speech and profligate manners. Being sent into Africa he laid siege to Utica; but finding himself surrounded on all sides by the enemy, at the head of which was king Juba, he rushed into the thickest of the battle and was slain.",Crabb,"Cic. a Fam. 1. 3, ep. 1, &c.; Caes. de Bell. Civ. 1. 2, c. 34; Val. Max. 1. 9; Plin. 1. 36; Plut. in Caes.; Flor. 1. 4.","508, Vol 1"
41,Jason,"High-priest of the Jews, and brother to Onias III, being a man of unbounded ambition, violently dispossessed his brother of the priesthood, which he sacreligiously purchased of Antiochus Epihpanes. He was afterwords dispossessed of it by this same price in favour of Menelaus, another brother, who gave him a higher price for the dignity.",Crabb,,"169, Vol 2"
42,Tamerlane or Timur Bek,"The emperor of the Tartars, and the great conqueror of the east, is said by some to have been the son of a shepherd, and by others to have been of the blood royal. After having made great conquests in Persia and India, he completed his career of victory by the defeat of Bajazet, the emperor of the Turks, at the battle of Ancyra, when he took the latter prisoner, and died in 1415, in the 71st year of his age, and 36th of his reign.",Crabb,,"609, Vol 2"
43,Epigenes,"An astronomer and historian, mentioned by Pliny.",Crabb,"plin. l. 7, c. 56.","583, Vol 1"
44,Erotian,"A physician, who was the author of 'Onimiasticon,' Gr. et Lat. by Eustachiu.s, 4to. Venet. 1566; it was reprinted with 'Galeni and Herodoti Glossaria in Hippocratem,' Gr. et Lat. 8vo.",Crabb,Lips. 1669.,"586, Vol 1"
45,"Abulfaraj, Ali Esfahani","Composed a book of Arabic songs, entitled 'Ketab Ali Algani', and died in the year of the
Hegira 356, A. D. 966.",Crabb,,"29, Vol 1"
46,Euctemon,"A mathmatician who flourished in the 86th olympiad, A. C. 436, assisted Meton in making his solar observations.",Crabb,"Ptolem. Almag. 1.3; Aelian. Var. Hist. 1.10; Suidas, Vossius, &c.","593, Vol 1"
47,Eumolpus,"A king of Thrace, son of Neptune and Chione, was thrown into the sea by his mother to conceal her and shame rescued by her father. He wasafterwards initiated into the mysteries of Ceres, and his descendants were invested with the priesthood. Having made war on Erechtheus, king of Athens, he was killed in battle.",Crabb,Apollod 1.2; Hygin. Fab. 73; Paus. 1.2.,", Vol 1"
48,Alpharabus,An Arabian philospher and astronomer.,Crabb,Genebr. in Sylvest. Blancannus Chron. Mathemat.,"130, Vol 1"
49,"Fimbria, C. Flavius","A roman consul, U.C. 649, who opposed the designs of Sylla, but, seeing the success of his rival, and the desertion of his own troops, killed himself.",Crabb,"Cic. de Offic. l.3, c.19; Liv. Epit. 1.82; Plut. in Lucell.","623, Vol 1"
50,"Galeazzo, John","Son of the preceding, and the first duke of Milan, governed the state with much policy, and died in the 55th year of his age, and the 24th of his government, during which he experienced many vicissitudes of fortune.",Crabb,,"12, Vol 2"
51,Gamaliel,"son of Pedahzur, prince of Manasseh, when the Israelites left Egypt.",Crabb,Numbi. i. &c.,"16, Vol 2"
52,"Gellius, Aulus","A grammarian, who flourished in the age of M. Antoninus, A. D. 130, wrote a miscellaneous work, which he entitled, 'Noctes Atticae;' because it was written at Athens in the long nights. The best editions of Aulus Gellius are, that of Gronovius, 4to. Lugd. Bat. 1706, and that of Conradus, 2 vols. 8vo. Lips. 1762. The work has been translated into English by Beloe.",Crabb,,"24, Vol 2"
53,Geminus,"A mathematician and astronomer of Rhodes, who flourished about the time of Cicero, U. C. 700, A. C. 64. He composed many works on Astrology, Geometry, the Sphere, &c.; on which latter subject a treatise of his is still extant, and inserted by Petavius in the third volume of his
'Doctrina Temporum,' 3 vols. fol. 1705.",Crabb,,"24, Vol 2"
54,"Germain, St.","Bishop of Paris, and one of the most celebrated prelates of the sixth century, was elected to succeed Libanius, and died about 576, or 579, after having been sedulous in the discharge of his ecclesiastical duties. A letter of his is still extant, addressed to queen Brunehaut, exhorting her to prevent king Sigebert from making war on king Chilperic",Crabb,,"30, Vol 2"
55,Gervase of Canterbury,"Another historian of the 13th century, and a monk of the monastery of Christ Church, in
that city, wrote a Chronicle of the Kings of England, from 1122 to 1200; and
a History of the Archbishops of Canterbury,
from St. Augustine to Archbishop Hubert who
died in 1205; both of which are published in Twisden's
Hist. Anglican. Script. X.",Crabb,,"33, Vol 2"
56,"Glaber, Rudolph","A Benedictine of St. Germainc d'Auxerre, in the 11th century, wrote a ""Chronicon,"" or
history of France, which has been printed in the collections of Pithon and Du Chesne.",Crabb,,"39, Vol 2"
57,"Gloucester, Humphrey, Duke of","brother of Henry V, who was left by him regent of England during the minority of
Henry VI, was embroiled with his uncle, the cardinal of Winchester, who embraced opposite counsels to his own, and by whose means, as is generally supposed, this prince came to an untimely end at St. Edmund's Bury, although it was given out that he died a natural death in 1447.",Crabb,,"41, Vol 2"
58,"Gloucester, Robert, Earl of","Natural son of Henry I, swore feulty conditionally to Stephen, but leaving tlie kingdom afterwards, he returned with the empress Matilda, and supported her cause by gaining several advantages over Stephen, whom he on one occasion took prisoner.",Crabb,,"41, Vol 2"
59,"Gracchus Sempronius, T. son of P. Gracchus","Twice consul and once censor, distinguished himself no less by his prudence as a statesman than by his valour as a soldier. He married Sempronia, called by some Cornelia, of the family of the Scipios, by whom he had the Gracchi, Tiberius and Caius.",Crabb,,"54, Vol 2"
60,"Gregory, Palamas","Archbishop of Thessalonica in the 14th century, caused some dissension in the Christian church on doctrinal points, in which he was supported by some synods and condemned by others.",Crabb,,"64, Vol 2"
61,Grimoald,"Duke of Benevento, was elected king of Lombardy in 662, after Aripert, and died after a reign of nine years, in which he defeated the French, and obtained many advantages over his enemies.",Crabb,Paul. Diac. Hist. Miscel. 1.5; Sigon de. Reg. Ital.,"68, Vol 2"
62,"Grosseteste, Robert","An English prelate, supposed to have been bom about 1175, of obscure parents, at Stradbrook, in Suffolk, was educated at Oxford, elected in 1235 bishop of Lincoln, and died in 1253, after having been engaged in almost constant opposition to the pope and
his agents, for which he brought upon himself excommunication and suspension. He was one of the most voluminous writers in our country. A list and a copious account of all his works, both published and unblished, may be seen in Dr. Pegge's Life of him.",Crabb,,"71, Vol 2"
63,"Hales, Alexander","A scholastic divine, supposed to be a native of Gloucestershire, who died in 1245, wrote a 'Commentary on the four Books of Sentences,' or 'Sum of Divinity,' Nuremberg, 1482, and often reprinted ; but a commentary printed at Lyons in 1515, with his name to it, is said not to be his; and according to Du Pin 'The Sura of Virtues,' Paris, 1509, and the ' Destructorium Vitiorum,' Nuremberg. I496, and Venet. 1582, are improperly attributed to him.",Crabb,,"84, Vol 2"
64,A. Rashid.,"caliph of the Saracens, was the second son of the caliph Mahadi or Mohdi. In early youth he acquired military renown in the command of an expedition sent by his father against the Greek empress Irene, in which he laid waste several of the Asiatic provinces of the empire, spread an alarm to Constantinople itself, and compelled the empress to purchase peace by a tribute. After the short reign of his elder brother Hadi, he succeeded to the caliphate A.D. 786, being then about twenty-four years of age. He was the most potent and vigorous monarch of his race, and ruled over territories extending from Egypt to Khorasan. The name of al Rasbid, the Righteous, or Just, was conferred upon him as an illustrious example of that virtue; but his justice, like that of most despots, was sullied by occasional acts of violence and caprice. One of his noblest qualities was a love of learning and science, which he patronised with so magnificent a spirit, that his court became the resort of the most eminent literary characters of his time. He caused many Latin and Greek authors to be translated into Arabic, and dispersed copies of their works over his whole empire. He first made the Iliad and Odyssey known to the eastern poets, who, it must be confessed, never imbibed much of the taste of European composition. He was extremely magnificent to his physicians, of whom the most trusted were Christians of the family of Baktishua (see that article). Of the events of this reign, one of the first was an incursion of the king of the Khozars, who committed great ravages before he could be opposed by the caliph's troops, who were employed in an invasion of the empress Irene's dominions, consequent upon her breach of the truce between them. In 792 a rebellion was raised in the province of Deylam by Yahia a descendant of AH, who was declared caliph. Haroun sent his general Al Fadi at the head of an army to suppress it. By an artful negotiation he persuaded Yahia to quit his party and trust himself to the clemency of the caliph, who sent him a promise under his own hand of security for life and liberty. On his first airival at Bagdad he was graciously received; but Haroun's suspicions at length induced him first to imprison, and then to put him to death; an action which greatly sullied his character in the eyes of the most respectable of his subjects. But the men of learning whom he paid, and the devotees whom he conciliated by religious zeal, and particularly by a pilgrimage on foot to Mecca, treated him with their accustomed adulation. His deference, indeed, for the doctors of his religion was very great; and it is recorded that one Malek, the founder of an orthodox Mahometan sect, having been sent for by the caliph in order to instruct his sons, and returning an answer, that ""knowledge would not wait upon any person, but was itself to be waited upon,"" Haroun owned that he was in the right, and directed that his children should attend him at the public school. Haroun is said eight times to have invaded the Greek empire. On the deposition of Irene, and the succession of Nicephorus in 802, the new emperor refused to pay tribute to the caliph, and intimated, by a present of swords delivered with an epistle, that he was ready to trust his cause to the decision of arms. The caliph ordered the swords to be fixed together in the ground, and drawing his scymetar cut them all asunder at a stroke. He then dictated the following characteristic epistle: ""In the name of the most merciful God: Haroun al Rashid, Commander of the Faithful, to Nicephorus the Roman dog: I have read thy letter, O you son of an unbelieving mother! Thou shalt not hear, but shalt behold, my reply."" This menace was made good by an irruption into Greece, the provinces of which were laid waste by the Saracens with sword and fire, while at the same time a fleet disembarked a body of troops on the isle of Cyprus which was treated in a similar manner. In subsequent campaigns, Nicephorus was defeated in person by Haroun, great part of Asia Minor was overrun by the tirms of the Saracens, and Heraclca, a city on the Black Sea, was totally destroyed. The war, after several renewals, was finally terminated by a treaty in which Nicephorus agreed to pay an augmentation of tribute, and not to rebuild Heraclea and the other ruined towns. During the course of these transactions, the ruin of the family of the Barmacides gave a striking example of the despotic rigour which was a part of Haroun's character. Yahia, the head of this family, had superintended the caliph's education, and assisted in his government. Of his four sons, Al Fadl, the eldest, was a successful general; Jaafar (Giaffar), the second, was the caliph's vizir and declared favourite, and distinguished himself by his proficiency in politer literature; Mahomet and Musa, the two youngest, were a!so in dignified stations. They were all educated in opulence, and had imbibed sentiments worthy of their fortune. Their generosity, munificence, and arEibility,rer.dered them the darlings of all ranks of people. Jaafar was so much in his master's good graces, that he could not endure to be without his company; and being equally attached to his own sister Abbasa, he thought fit to break through the eastern formality of excluding unmarried females from the view of the other sex. A mutual passion was the consequence, which the caliph so far indulged as to permit a marriage between his sister and the vizir, but with die cruel restriction of their abstaining from the privileges of such an union. Passion broke through this unjust prohibition (see the article ABBASA); the consequences could not be concealed; and this circumstance is commonly said to have brought down the monarch's vengeance upon the head of Jaafar and his family. Others rather impute the catastrophe to his jealousy of their riches and influence. Whatever were the cause, Jaafar was publicly executed; his venerable father was imprisoned, and either died or was put to death in prison; and the property of the whole race was confiscated. A decree was even made forbidding on pain of death all mention of the names or actions of the Barmacides ; but a grateful old man who ventured openly to disobey it, obtained his pardon and a present from the caliph. Haroun attained the summit of worldly prosperity, and was certainly the richest and most potent sovereign of his time. The French historians mention a splendid embassy which he sent to Charlemagne, which, among other presents, brought a magnificent tent, a waterclock, an elephant, and the keys of the holy sepulchre at Jerusalem, denoting permission for European pilgrims to visit it. In common with the western monarch, he adopted the plan of making a division of his extensive dominions between his three sons a fertile source of future civil wars. Like him, too, he passed a life of great activity, frequently visiting his most distant provinces. His principal residence was a favourite palace at Racca on the Euphrates. After a return from an expedition to quiet some commotions in Persia, he was seized with great dejection of spirits, and an apprehension of soon falling into some mortal distemper. By proper remedies he was almost recovered, when the revolt of a captain named Rafe ebn Leith in the provinces beyond the Oxus, summoned him into the field. He marched at the head of a powerful army, but on his arrival at the frontiers, he found himself too much indisposed to proceed. Retiring to Tous in Khorasan, he sunk into his former state of despondence, and died in October, 808, at the age of forty-seven, after a reign of twenty-three years. His last command was that of cutting in pieces before his face the brother of the rebel against whom he was marching. It can only have been in comparison with other Saracen princes that he is extolled for humanity ; but in alms-giving, in punctilious demotion, in liberality to poets and men of letters, in courage and activity, he has had few superiors among sovereigns. Nor was he incapable of just and generous sentiments when reflection was not impeded by passion. He could occasionally bear bold remonstrances, of which the following story is an instance. In one of his military progresses, a woman came to him with a complaint that some of his soldiers had pillaged her house. ""Hast thou not read,"" said Haroun, ""in the Koran, that where princes pass with their armies they make places desolate ?"" ""True,"" replied the woman; ""but I have also read in the same Koran, that the houses of those princes shall be made desolate for their injustice."" Haroun was struck with the answer, and ordered full restitution to be made to the petitioner. The popular fame of this great caliph is evinced by the Arabian Nights Entertuinments, in which Haroun, with his queen Zobeide, his vizir Giafar, and his chief eunuch Mesrour, are the actors in a great number of the tales. ",Akin,"Marigay's Hist, of the Caliphs. Mod, Univers. Hist. Gibbon. A.",
65,"Harriot, Thomas","A mathematician, was born at Oxford in 1560, became a commoner of St. Mary-Hall, where he took his degree of A. B. in 1579, and died in 1621, leaving, 1. 'A brief and true Report of the Newfoundland of Virginia,' 1585; and reprinted in Hackluyt's 'Vovages.' 2. ' Artis Analysis Praxis,' a thin folio, printed after his death.",Crabb,,"95, Vol 2"
66,"Harkwood, Sir John","Son of a tanner, of Henningham, in Essex, and a brave officer of the 14th century, after distinguishing himself at sea, in the sen-ice of Edward in, went over to Italy, and fought in the service of several of the Italian states, particularly of the Pisans and the Florentines, which latter sustained an irreparable loss at his death in 1394. He was honoured by them with a noble funeral at the public expense, and a magnificent monument.",Crabb,,"101, Vol 2"
67,Hegesias,"A philosopher of Cyrene, who recommended suicide, but was forbidden by Ptolemy to continue the propagation of his doctrines. ",Crabb,"Cic. Tusc. 1. 1, c. 34; Val. Max. 1. 8; Diogen. in Arist.","106, Vol 2"
68,Hellen,"The son of Deucalion and Pyrrha, who is said to have reigned in Phthiotis about 1495 years A. C. and gave the name of Hellenians to his subjects. His sons Aeolus, Dorus, and Xuthus, or rather his grandson Ion, the son of Xuthus, gave their respective names to the Aeolians, Dorians, and lonians.",Crabb,"Apollod. 1. 1;
Diod. l. 5; Paus. 1. 6","109, Vol 2"
69,"Hemskirk or Heemskirk, Martin","A peasant's son and a painter, was born in 1498, and died in 1574. Most of his works were engraved, and Michael Angelo is said to have been so pleased with one of the prints that he wished to colour it.",Crabb,,"110, Vol 2"
70,Hercules,"The name of several celebrated heroes, as the Egyptian Hercules, Phoenician or Tyrian Hercules, Cretan Hercules, Indian Hercules, the Graecian or Theban Hercules, which was also the Roman Hercules, who has given so much celebrity to the name, on account of his numerous exploits. He is said to have been the son of Amphitryon and Alcmene; to have been born A. C. 1280; to have performed a prodigy of valour and strength while in his cradle, by strangling two serpents, sent by Juno to destroy him; to have afterwards travelled and filled the world with admiration at his deeds of heroism; and to have perished by means of an enchanter's tunic, which his -wife Dejanira, having received from Nessus, unconsciously sent to him. After being consumed in the flames caused by this tunic, he is said to have been carried up into heaven by Jupiter, in a chariot drawn by four horses; wherefore he was afterwards honoured in an especial manner by the Greeks as a god. A farther account of this
deity may be found under the head of Numismatics, in the following article.",Crabb,"Horn. II. &c.; Hesiod. in Scut. Here. &c.; Theocrit. Idyl.; Find. Olymp. od. 3; Horodot.; Eurip. in Here; Sophocl. in Trachin. ; Callimach. Hym. in Dian.; Xenoph. Memorab; Dionys. Hal. 1. 1; Senec. in Here. Tur.; 1. 3 ; Ovid. Mel. 1. 9, Plin. 1. 4; Lucian. Argon. 1. 2; Apollod. 1.
Cic. de Nat. Deor. 1. 3 ; Diodor. 1. 1 Virg. Aen. 1. 8 , Hor. 1. 2, ep. 1, &c; Hygin. Fab. 29; Mela, 1. 2 ; Strab. &c.; Lucan. 1. 3; Slat. Theb. 1. 5. Dial.; Pans. 1. 3; Arnob. 1. 4; Laclant. de Fals. Rel. &c.","117, Vol 2"
71,Hermoginian or Hermogenes,"A lawyer in the reign of Constantine the Great, or his sons, wrote an abridgment of law in six books. Lampridius calls him Hermogenes.",Crabb,,"120, Vol 2"
72,Hermolaus,"A young Macedonian in the train of Alexander the Great, who conspired against his master; but the plot being discovered, he was put to death. ",Crabb,Q. Curl. 1.8.,"120, Vol 2"
73,Himilco,"A Carthaginian, wlio was sent by the senate on a voyage of discovery, of which he afterwards gave an account.",Crabb,Fest. Avien.,"132, Vol 2"
74,Hero the Elder,"Was a native of Alexandria, and the disciple of Ctesias, who flourished in the reigns of Ptolemy Philadelphus, and Evergetes I. He was the author of, 1. A treatise, 'De Constructione et Mensura Manubalistae;' of which a fragment was published in Greek by Bernardino  Baldi. 2. 'Spiralia; ' published by Frederic Commandinc in 4to. Urbin. 1585. 3.' Beolpcecia, sive de Telis conficiendis jaculandisque Liber,' Gr. and Lat. 4to. Aug. Vind. 1616. 'De Automatorum Fabrica'. These are all to be found in the ' Mathematici Veteres,"" Gr. and Lat. fol. Paris. 1693.",Crabb,,"121, Vol 2"
75,Herodicus ,"A physician, surnamed the Gymnastic,
who flourished A. C. 443; also a grammarian, surnamed Crateus, who flourished A. C. 123. ",Crabb,Aristot. Rhet. 1. 2; Athen. 1. 5; Voss. de Hist. Graec. &c.,"122, Vol 2"
76,Hesychius,"Bishop of Egypt, whom Eusebius speaks of as a very illustrious martyr.",Crabb,Euseb. 1. 8.,"125, Vol 2"
77,Hezekiah,"King of Judah, son of Ahaz and Abi, was born A.M. 3251, succeeded his father Ahaz, A. M. 3277, A. C. 726, and died A.M. after an exemplary reign, 3306, A. C. 698. ",Crabb,"2 Kings viii; 2 Chron. xxxii; Isaiah xxxviiI; Ecclesias. xlvii; Usser. Annal, &c.","126, Vol 2"
78,Hippasus,"A disciple of Pythagoras, who maintained that everything was produced from fire.",Crabb,,"133, Vol 2"
79,Hippias,"A son of Pisistratus, who succeeded his father as tyrant of Athens, with his brother Hipparchus, whose death he wished to revenge, but, being driven  from Athens, he fled to the court of Darius, and fell at the battle of Marathon fighting against the Athenians,
A. C. 490. He had five children by Myrrhina, the daughter of Callias. ",Crabb,Herod. 1. 6; Thucyd. 1. 6; Cic. ad Attic. 1. 9. ep. 11.,"133, Vol 2"
