place_name,index_section,index_text,placeID
Ethiopia and Abyssinia,Ethiopia and Abyssinia,"This country was ravaged by Sesac, or Sesostris the Egyptian, in the reign of his father Ammon, about 1008 B.C. but upon his death, in 956, the Ethiopians recovered their independency, and in 947 they invaded Egypt, and drowned Orus in the Nile, which put an end to what is called the reign of the gods in Egypt; but in 946 Zerah the Ethiopian was overthrown by Asa king of Judah; and the Egyptians, with the assistance of the Jews and Phoenicians, made Osarsiphus king, expelling the Ethiopians from Lower Egypt. In 671 Ethiopia was conquered by Asserhaddon king of Assyria, but it revolted upon his death in 668. Cyrus seems to have been master of a great part of Ethiopia about 534, but the Ethiopians must have recovered their independency at the time of his death, since Cambyses made a fruitless expedition against them in 525. Ptolemy Euergetes penetrated into Ethiopia about 246 B.C. but he abandoned his conquests; also Aelius Gallus the Roman general made an irruption into this country against queen Candace, but it had no consequence of importance. From this time the history of this country is very little known, but in 960 Fredda Gabey, a wicked woman, killed Del Noad the reigning prince, and set one of her own sons on the throne, whereby an end was put to what is called the Solomonic race, pretended to be descended from king Solomon and the queen of Sheba (which they say was Ethiopia) but this Zygaean family were driven from the throne by Icon Amlac, in whom the Solomonic race was restored, in 1300. This kingdom continues to this day, but we know nothing of its history, except for a short time, when the Jesuits made an attempt to bring the Abyssinians over to popery. Nubia, which was part of antient Ethiopia, is now distinct from Abyssinia.",2.08
Japan,Japan,"Sin-onu, an ecclesiastic, is said to have founded the Japanese monarchy, about 660 B.C. but in 1188 Jerotimo put an end to the supreme ecclesiastic authority, and became the first secular monarch of Japan. In 1598 the Laqueio islands were conquered by the Japanese.",3.01
Korea,Korea,"In 112 B.C. Ki-tze is said to have been the first king of this country, but in 201 after Christ, it was conquered by the Japanese, and it is uncertain when it recovered its independency. In 1224 it became tributary to Jenghis Khan, and in 1664 was conquered by Shunchi, the first prince of the second Tartar dynasty.",3.02
Leautong,Leautong,"This empire began about 811, and the inhabitants of this country, called Kitans, being increased by many colonies from Korea in 1033, became very considerable, and changed their name to Lyau. In 1101 this empire was destroyed by the Chinese, in conjunction with the Niuche, or Eastern Tartars, who immediately established themselves in this country, which is in the northern parts of China.",3.03
China (northern and western),China,"This empire is certainly of very great antiquity; but, like other antient nations, has been aggrandized by fables. The first monarch is said to have been Fohi, whom the defenders of the Chinese antiquities pretend to have been the same with Noah; but omitting these pretended antiquities, and a variety of internal revolutions, the first foreign invasion of China was made by the Kitans in 946. In 949 some cities in the northern parts were relinquished to them, and in 950 they made farther conquests. In 1117 the Kin Tartars, at the invitation of the princes of the Song dynasty, who reigned in the southern parts of China, invaded and destroyed the empire of the Kitans, but at the same time made the Song themselves tributary.
In 1211 Jenghis Khan invaded China, and in 1234 his son Oktay put an end to the dynasty of the Kin. He attacked the Song in 1235, and made them tributary in 1260, but they were finally conquered by Kublay in 1279. In 1356 Chu, a Chinese, recovered Nanking from the Tartars, and in 1368 he put an end to the authority of the Mungls, whose dynasty is called Iwen by the Chinese. In 1643 the Manchew Tartars invaded China, and completed the conquest in 1645. ",3.04
China (central and southern),China,"This empire is certainly of very great antiquity; but, like other antient nations, has been aggrandized by fables. The first monarch is said to have been Fohi, whom the defenders of the Chinese antiquities pretend to have been the same with Noah; but omitting these pretended antiquities, and a variety of internal revolutions, the first foreign invasion of China was made by the Kitans in 946. In 949 some cities in the northern parts were relinquished to them, and in 950 they made farther conquests. In 1117 the Kin Tartars, at the invitation of the princes of the Song dynasty, who reigned in the southern parts of China, invaded and destroyed the empire of the Kitans, but at the same time made the Song themselves tributary.
In 1211 Jenghis Khan invaded China, and in 1234 his son Oktay put an end to the dynasty of the Kin. He attacked the Song in 1235, and made them tributary in 1260, but they were finally conquered by Kublay in 1279. In 1356 Chu, a Chinese, recovered Nanking from the Tartars, and in 1368 he put an end to the authority of the Mungls, whose dynasty is called Iwen by the Chinese. In 1643 the Manchew Tartars invaded China, and completed the conquest in 1645. ",3.05
Tangut,Tangut,"In 630 Ki-tzon, king of Tusan or Sisan, possessed a vast empire in this part of Asia, including the whole region between China and Indostan; but it began to decay about 842, the emperor Itay leaving no issue. In 1015 it was divided into several states, which were all conquered by Jenghis Khan in 1227. At what time this country became independent of the Tartars is not known, but in 1716 Thibet, the remains of it, was conquered by the Chinese.",3.06
Mogulestan,Tartary,"Nothing is known concerning the antient state of this country. Some time before 1200 we find Ung Khan, prince of the tribe of Koraits, a very powerful sovereign, and the greatest part of Tartary tributary to him; but in 1202 he was defeated and put to death by Jenghis Khan, of the tribe of the Mungls in the Mogulestan. This great man was acknowledged sovereign of this country, and of all the rest of Tartary in 1206, after which he extended his conquests into most of the southern parts of Asia. In 1582 the Mungls revolted from the descendants of Jenghis Khan, and became subject to the Manchew Tartars, who now reign in China. At what time the Khalkas became independent is not known, but they were conquered by the Chinese Tartars in 1696. The Eluths became a separate state about 1400, and continue independent to this day.",3.07
Khalka,Tartary,"Nothing is known concerning the antient state of this country. Some time before 1200 we find Ung Khan, prince of the tribe of Koraits, a very powerful sovereign, and the greatest part of Tartary tributary to him; but in 1202 he was defeated and put to death by Jenghis Khan, of the tribe of the Mungls in the Mogulestan. This great man was acknowledged sovereign of this country, and of all the rest of Tartary in 1206, after which he extended his conquests into most of the southern parts of Asia. In 1582 the Mungls revolted from the descendants of Jenghis Khan, and became subject to the Manchew Tartars, who now reign in China. At what time the Khalkas became independent is not known, but they were conquered by the Chinese Tartars in 1696. The Eluths became a separate state about 1400, and continue independent to this day.",3.08
Eluth,Tartary,"Nothing is known concerning the antient state of this country. Some time before 1200 we find Ung Khan, prince of the tribe of Koraits, a very powerful sovereign, and the greatest part of Tartary tributary to him; but in 1202 he was defeated and put to death by Jenghis Khan, of the tribe of the Mungls in the Mogulestan. This great man was acknowledged sovereign of this country, and of all the rest of Tartary in 1206, after which he extended his conquests into most of the southern parts of Asia. In 1582 the Mungls revolted from the descendants of Jenghis Khan, and became subject to the Manchew Tartars, who now reign in China. At what time the Khalkas became independent is not known, but they were conquered by the Chinese Tartars in 1696. The Eluths became a separate state about 1400, and continue independent to this day.",4.01
Golkonda,Indostan,"Of the ancient history of this country little is known that can be depended on. In 1001 Mahmud Gazni made considerable conquests in it; in 1222 Jenghis Khan conquered Candahar and Multan, the western provinces of it; and in 1383 Timur Bek conquered Candahar. In 1396 he invaded the rest of India, and in 1399 he entered Delhi the capital of it, conquering the remains of Mahmud Gazni’s empire. From the conquests of Timur Bek to 1526, the Indians seemed to have acknowledged some dependence on the eldest branch of his family, reigning in Buccharia; but notwithstanding this, when Sultan Babr was expelled from Buccharia by the Usbeks, he was obliged to fight his way into India, where he firmly established himself in 1530, and conquered the whole of it, except Decan, Guzerat, and Bengal. In 1538 Bengal was conquered by the Great Moguls (as the reigning princes of this family were then called) and about 1558 Guzerat was conquered by Akbar, who also conquered Candahar, which had become independent. In 1621 Shah Abbas of Persia conquered Candahar. In 1687 Golkonda and Visapour were conquered by the Moguls. The latter of these states was founded by Adel Shah, of the Patan race, in 1530. Nadir Shah of Persia ravaged Indostan in 1738; and kept Gazna, Candahar, and some other places in that neighbourhood.",5.01
Visapour,Indostan,"Of the ancient history of this country little is known that can be depended on. In 1001 Mahmud Gazni made considerable conquests in it; in 1222 Jenghis Khan conquered Candahar and Multan, the western provinces of it; and in 1383 Timur Bek conquered Candahar. In 1396 he invaded the rest of India, and in 1399 he entered Delhi the capital of it, conquering the remains of Mahmud Gazni’s empire. From the conquests of Timur Bek to 1526, the Indians seemed to have acknowledged some dependence on the eldest branch of his family, reigning in Buccharia; but notwithstanding this, when Sultan Babr was expelled from Buccharia by the Usbeks, he was obliged to fight his way into India, where he firmly established himself in 1530, and conquered the whole of it, except Decan, Guzerat, and Bengal. In 1538 Bengal was conquered by the Great Moguls (as the reigning princes of this family were then called) and about 1558 Guzerat was conquered by Akbar, who also conquered Candahar, which had become independent. In 1621 Shah Abbas of Persia conquered Candahar. In 1687 Golkonda and Visapour were conquered by the Moguls. The latter of these states was founded by Adel Shah, of the Patan race, in 1530. Nadir Shah of Persia ravaged Indostan in 1738; and kept Gazna, Candahar, and some other places in that neighbourhood.",5.02
Bengal and Guzerat,Indostan,"Of the ancient history of this country little is known that can be depended on. In 1001 Mahmud Gazni made considerable conquests in it; in 1222 Jenghis Khan conquered Candahar and Multan, the western provinces of it; and in 1383 Timur Bek conquered Candahar. In 1396 he invaded the rest of India, and in 1399 he entered Delhi the capital of it, conquering the remains of Mahmud Gazni’s empire. From the conquests of Timur Bek to 1526, the Indians seemed to have acknowledged some dependence on the eldest branch of his family, reigning in Buccharia; but notwithstanding this, when Sultan Babr was expelled from Buccharia by the Usbeks, he was obliged to fight his way into India, where he firmly established himself in 1530, and conquered the whole of it, except Decan, Guzerat, and Bengal. In 1538 Bengal was conquered by the Great Moguls (as the reigning princes of this family were then called) and about 1558 Guzerat was conquered by Akbar, who also conquered Candahar, which had become independent. In 1621 Shah Abbas of Persia conquered Candahar. In 1687 Golkonda and Visapour were conquered by the Moguls. The latter of these states was founded by Adel Shah, of the Patan race, in 1530. Nadir Shah of Persia ravaged Indostan in 1738; and kept Gazna, Candahar, and some other places in that neighbourhood.",5.03
Indostan (central),Indostan,"Of the ancient history of this country little is known that can be depended on. In 1001 Mahmud Gazni made considerable conquests in it; in 1222 Jenghis Khan conquered Candahar and Multan, the western provinces of it; and in 1383 Timur Bek conquered Candahar. In 1396 he invaded the rest of India, and in 1399 he entered Delhi the capital of it, conquering the remains of Mahmud Gazni’s empire. From the conquests of Timur Bek to 1526, the Indians seemed to have acknowledged some dependence on the eldest branch of his family, reigning in Buccharia; but notwithstanding this, when Sultan Babr was expelled from Buccharia by the Usbeks, he was obliged to fight his way into India, where he firmly established himself in 1530, and conquered the whole of it, except Decan, Guzerat, and Bengal. In 1538 Bengal was conquered by the Great Moguls (as the reigning princes of this family were then called) and about 1558 Guzerat was conquered by Akbar, who also conquered Candahar, which had become independent. In 1621 Shah Abbas of Persia conquered Candahar. In 1687 Golkonda and Visapour were conquered by the Moguls. The latter of these states was founded by Adel Shah, of the Patan race, in 1530. Nadir Shah of Persia ravaged Indostan in 1738; and kept Gazna, Candahar, and some other places in that neighbourhood.",5.04
Indostan (northern),Indostan,"Of the ancient history of this country little is known that can be depended on. In 1001 Mahmud Gazni made considerable conquests in it; in 1222 Jenghis Khan conquered Candahar and Multan, the western provinces of it; and in 1383 Timur Bek conquered Candahar. In 1396 he invaded the rest of India, and in 1399 he entered Delhi the capital of it, conquering the remains of Mahmud Gazni’s empire. From the conquests of Timur Bek to 1526, the Indians seemed to have acknowledged some dependence on the eldest branch of his family, reigning in Buccharia; but notwithstanding this, when Sultan Babr was expelled from Buccharia by the Usbeks, he was obliged to fight his way into India, where he firmly established himself in 1530, and conquered the whole of it, except Decan, Guzerat, and Bengal. In 1538 Bengal was conquered by the Great Moguls (as the reigning princes of this family were then called) and about 1558 Guzerat was conquered by Akbar, who also conquered Candahar, which had become independent. In 1621 Shah Abbas of Persia conquered Candahar. In 1687 Golkonda and Visapour were conquered by the Moguls. The latter of these states was founded by Adel Shah, of the Patan race, in 1530. Nadir Shah of Persia ravaged Indostan in 1738; and kept Gazna, Candahar, and some other places in that neighbourhood.",5.05
Turkestan,Turkestan,"This country was inhabited by the Turks from the earliest antiquity. In 894 it was over-run by Ismael Al Sammani. How long the conquest was retained is not certain, but we find the khans of Turkestan making some figure in 1141, when they were conquered by Gurkhan, prince of the Karakitayn Turks, who came from the borders of China. In 1216 Turkestan was conquered by Jenghis Khan, and afterwards underwent, for the most part, the revolutions of Karasm.",4.02
Karasm,Karasm,"We know nothing certain of this country till it was seized by the Turks, when they over-run Persia in 654. In 680 they were expelled by the Saracens, but in 864 Ismael Al Sammani shook off their yoke, and assumed the title of king of Mawarahlnar and Chorasan. In 1016 this country was conquered by Mahmud Gazni, and in 1043 by the Seljuks; but upon the death of Malek Shah, surnamed Jaladoddin, the third sultan of the Seljuks, in 1092, Kothboddin, then governor of this province, set up for himself, and in 1193 the Seljuks were finally expelled by Takash, the sixth from Kothboddin. In 1218 Jenghis Khan entered Karasm, and completed the conquest of it in 1220. About 1348 it set up its own king, but in 1378 it was conquered by Timur Bek. It submitted to Ilbars Khan of the Usbeks in 1505, and though it was conquered by the Persians, it was recovered by the Usbeks in 1512. It was also seized by Abdollah, khan of Great Buccharia, in 1591, but was recovered again in 1597. These Usbeks were Tartars who came from the borders of Russia, where they were governed by a race of princes descended from Sheibani, the grandson of Jenghis Khan; but they derived their name from Usbek, the seventh of this race, who introduced the Mohammedan religion among them. The last prince of this tribe was Burgo Khan, who was slain by Shah Bakht, upon which the Usbeks quitted their antient habitation, and conquered this country.",4.03
Great Buccharia or Mawarahlnar,Great Buccharia or Mawarahlnar,"This province was the ancient Aria, inhabited by the Nicaei, Astaveni, and other nations. It was probably subject to the Medes, and with them underwent the same revolutions as Persia. In 894 this was part of the empire of Ismael Sammani, but it was conquered by Mahmud Gazni about 995. In 1038 the Seljuks conquered it, but they were expelled by the sultans of Karasm in 1157. It submitted to Jenghis Khan in 1220, and about 1378 it was conquered by Timur Bek; but, upon the death of Shah Ruk, it was seized by Allodawlet his grandson. In 1505 this country was seized by the Usbeks, but the greatest part of it was conquered by the Persians about 1510.  Great Buccharia, or  Mawarahlnar. This country was, perhaps, the antient Bactria, which was a province of the Median, Persian, and Macedonian empires, till Antiochus Theos being engaged in a war with Egypt, it revolted at the same time with Parthia, and Theodotus the governor became king of it, about 250 B.C. Under his descendants it continued during five reigns, i.e. till about 150 B.C. In 655 it was seized by the Turks, but in 707 they were expelled by the Arabs, under Walid. In 894 Ismael Al Sammani revolted from the Arabs, and in 1078 Malek Shah the Seljuk conquered it. In 1124 Gurkhan, being driven out of the Kitah by the Kin, founded a powerful state here; but about 1200 it was conquered by Kothboddin Mohammed, prince of Karasm. The Karasmians were conquered in 1220 by Jenghis Khan, who gave this country to his son Jagatai. In 1369 Timur Bek was crowned prince of this country at Balch, and in 1402 died Mahmud the last prince of the race of the Khans, after several of them had been deprived of all power by Timur Bek, whose descendants formed a new dynasty; but in 1489, Sultan Babr was expelled by the Usbeks under Shah Bakht.",4.04
Chorasan,Chorasan,"This province was the ancient Aria, inhabited by the Nicaei, Astaveni, and other nations. It was probably subject to the Medes, and with them underwent the same revolutions as Persia. In 894 this was part of the empire of Ismael Sammani, but it was conquered by Mahmud Gazni about 995. In 1038 the Seljuks conquered it, but they were expelled by the sultans of Karasm in 1157. It submitted to Jenghis Khan in 1220, and about 1378 it was conquered by Timur Bek; but, upon the death of Shah Ruk, it was seized by Allodawlet his grandson. In 1505 this country was seized by the Usbeks, but the greatest part of it was conquered by the Persians about 1510.  Great Buccharia, or  Mawarahlnar. This country was, perhaps, the antient Bactria, which was a province of the Median, Persian, and Macedonian empires, till Antiochus Theos being engaged in a war with Egypt, it revolted at the same time with Parthia, and Theodotus the governor became king of it, about 250 B.C. Under his descendants it continued during five reigns, i.e. till about 150 B.C. In 655 it was seized by the Turks, but in 707 they were expelled by the Arabs, under Walid. In 894 Ismael Al Sammani revolted from the Arabs, and in 1078 Malek Shah the Seljuk conquered it. In 1124 Gurkhan, being driven out of the Kitah by the Kin, founded a powerful state here; but about 1200 it was conquered by Kothboddin Mohammed, prince of Karasm. The Karasmians were conquered in 1220 by Jenghis Khan, who gave this country to his son Jagatai. In 1369 Timur Bek was crowned prince of this country at Balch, and in 1402 died Mahmud the last prince of the race of the Khans, after several of them had been deprived of all power by Timur Bek, whose descendants formed a new dynasty; but in 1489, Sultan Babr was expelled by the Usbeks under Shah Bakht.",6.01
